Date,Open,High,Low,Close,Adj Close,Volume
2020-02-18,336.510010,337.670013,335.209991,336.730011,330.556915,57226200
2020-02-19,337.790009,339.079987,337.480011,338.339996,332.137360,48814700
2020-02-20,337.739990,338.640015,333.679993,336.950012,330.772919,74163400
2020-02-21,335.470001,335.809998,332.579987,333.480011,327.366516,113788200
2020-02-24,323.140015,333.559998,321.239990,322.420013,316.509247,161088400
2020-02-25,323.940002,324.609985,311.690002,312.649994,306.918335,218913200
2020-02-26,314.179993,318.109985,310.700012,311.500000,305.789459,194773800
2020-02-27,305.459991,311.559998,297.510010,297.510010,292.055939,284353500
2020-02-28,288.700012,297.890015,285.540009,296.260010,290.828827,385764000
2020-03-02,298.209991,309.160004,294.459991,309.089996,303.423584,238703600
2020-03-03,309.500000,313.839996,297.570007,300.239990,294.735870,300139100
2020-03-04,306.119995,313.100006,303.329987,312.859985,307.124481,176613400
2020-03-05,304.980011,308.470001,300.010010,302.459991,296.915161,186366800
2020-03-06,293.149994,298.779999,290.230011,297.459991,292.006836,228667200
2020-03-09,275.299988,284.190002,273.450012,274.230011,269.202698,309417300
2020-03-10,284.640015,288.519989,273.500000,288.420013,283.132568,276444100
2020-03-11,280.700012,281.940002,270.880005,274.359985,269.330322,255316300
2020-03-12,256.000000,266.660004,247.679993,248.110001,243.561539,392220700
2020-03-13,263.089996,271.480011,248.520004,269.320007,264.382690,329566100
2020-03-16,241.179993,256.899994,237.360001,239.850006,235.452972,297240000
2020-03-17,245.039993,256.170013,237.070007,252.800003,248.165558,262070500
2020-03-18,236.250000,248.369995,228.020004,240.000000,235.600204,327597100
2020-03-19,239.250000,247.380005,232.220001,240.509995,236.100845,289322000
2020-03-20,242.529999,244.470001,228.500000,228.800003,225.926285,347158800
2020-03-23,228.190002,229.679993,218.259995,222.949997,220.149750,326025200
2020-03-24,234.419998,244.100006,233.800003,243.149994,240.096039,235494500
2020-03-25,244.869995,256.350006,239.750000,246.789993,243.690323,299430300
2020-03-26,249.520004,262.799988,249.050003,261.200012,257.919342,257632800
2020-03-27,253.270004,260.809998,251.050003,253.419998,250.237045,224341200
2020-03-30,255.699997,262.429993,253.529999,261.649994,258.363678,171369500
2020-03-31,260.559998,263.329987,256.220001,257.750000,254.512680,194881100
2020-04-01,247.979996,257.660004,243.899994,246.149994,243.058365,189554600
2020-04-02,245.190002,252.679993,244.589996,251.830002,248.667038,177660400
2020-04-03,250.759995,253.320007,245.220001,248.190002,245.072754,135561200
2020-04-06,257.839996,267.000000,248.169998,264.859985,261.533356,188061200
2020-04-07,274.209991,275.029999,264.890015,265.130005,261.799988,201427200
2020-04-08,267.959991,276.000000,265.250000,274.029999,270.588196,153774500
2020-04-09,277.579987,281.200012,275.470001,278.200012,274.705811,190282700
2020-04-13,277.140015,277.510010,271.410004,275.660004,272.197723,114839100
2020-04-14,280.980011,284.899994,275.510010,283.790009,280.225616,134143400
2020-04-15,277.570007,283.940002,275.459991,277.760010,274.271362,121775000
2020-04-16,279.149994,280.029999,275.760010,279.100006,275.594513,131798300
2020-04-17,285.380005,287.299988,282.399994,286.640015,283.039795,146684800
2020-04-20,282.609985,286.790009,281.350006,281.589996,278.053223,100109300
2020-04-21,276.730011,278.040009,272.019989,273.040009,269.610626,126385700
2020-04-22,278.350006,281.000000,276.910004,279.100006,275.594513,93524600
2020-04-23,280.489990,283.940002,278.750000,279.079987,275.574738,104709700
2020-04-24,280.730011,283.700012,278.500000,282.970001,279.415924,85166000
2020-04-27,285.119995,288.269989,284.619995,287.049988,283.444672,77896600
2020-04-28,291.019989,291.399994,285.399994,285.730011,282.141235,105270000
2020-04-29,291.529999,294.880005,290.410004,293.209991,289.527283,118745600
2020-04-30,291.709991,293.320007,288.589996,290.480011,286.831604,122901700
2020-05-01,285.309998,290.660004,281.519989,282.790009,279.238159,125180000
2020-05-04,280.739990,283.899994,279.130005,283.570007,280.008392,80873200
2020-05-05,286.640015,289.250000,283.709991,286.190002,282.595459,79569900
2020-05-06,288.040009,288.459991,283.779999,284.250000,280.679840,73632600
2020-05-07,287.750000,289.779999,287.130005,287.679993,284.066742,75250400
2020-05-08,291.089996,292.950012,289.859985,292.440002,288.766968,76622100
2020-05-11,290.339996,294.000000,289.880005,292.500000,288.826202,79514200
